Date,MSCI Emerging Markets
02/2000,87683.98721432983
03/2000,89596.89006594787
04/2000,85281.69219592736
05/2000,79840.17020316028
06/2000,80464.26473419841
07/2000,78910.68899707886
08/2000,82299.30855602966
09/2000,76321.59402167711
10/2000,73714.7742663657
11/2000,65201.32330723169
12/2000,62319.012122514774
01/2001,70991.89482406112
02/2001,65751.54134948099
03/2001,62086.26644021739
04/2001,64831.07818837313
05/2001,68668.54259433963
06/2001,67258.99443396227
07/2001,61029.71444888635
08/2001,57768.591286307055
09/2001,48971.57590625342
10/2001,52522.63676177837
11/2001,58944.9145650708
12/2001,64237.320980369914
01/2002,67767.53956234804
02/2002,68769.39241706161
03/2002,72295.9107977992
04/2002,70471.03627886323
05/2002,66548.28513902206
06/2002,57927.15771428571
07/2002,54571.81398344067
08/2002,55130.928668768436
09/2002,49048.11036511156
10/2002,52209.55218978102
11/2002,55449.17280145058
12/2002,50744.265490607424
01/2003,48986.51671597633
02/2003,47814.67996661102
03/2003,45977.05173015145
04/2003,49010.68930015273
05/2003,49457.95883945187
06/2003,54083.86264111315
07/2003,58024.482081639864
08/2003,64134.71509105884
09/2003,60585.09747682801
10/2003,65910.4418688694
11/2003,64651.031015507746
12/2003,65846.38646080761
01/2004,69539.37034883721
02/2004,72548.0375261717
03/2004,74646.38491492147
04/2004,70132.73225077425
05/2004,67336.74953271027
06/2004,67883.63486631017
07/2004,67325.81774233741
08/2004,69727.0819915779
09/2004,71983.09836409059
10/2004,71809.48786998507
11/2004,75167.80571643476
12/2004,76900.85052492475
01/2005,80612.33855005752
02/2005,86222.35342837746
03/2005,82362.27398950941
04/2005,80210.3630470016
05/2005,87249.79691833588
06/2005,92045.60621898776
07/2005,98550.4151327214
08/2005,98581.58971962618
09/2005,109170.12047832587
10/2005,102198.7053979872
11/2005,113048.74366556207
12/2005,119461.2899720268
01/2006,129357.54603069814
02/2006,131878.22976000002
03/2006,130542.9879378718
04/2006,135028.48528356064
05/2006,117799.22098228164
06/2006,118982.63663966018
07/2006,120221.7221116942
08/2006,122538.6931445024
09/2006,125433.02488151657
10/2006,131024.81441398867
11/2006,135407.57809090908
12/2006,141840.00232346242
01/2007,142748.52950440018
02/2007,139160.76301566878
03/2007,143572.4474245382
04/2007,147231.63850055126
05/2007,156166.98995019696
06/2007,162924.021369863
07/2007,169075.88509520682
08/2007,165562.23992703395
09/2007,177713.77910995134
10/2007,193881.7553678964
11/2007,176314.51457218349
12/2007,177428.40354595476
01/2008,153781.84095494283
02/2008,161954.0131865234
03/2008,147140.76321780926
04/2008,161890.42285714287
05/2008,165281.16588857365
06/2008,146398.52808931743
07/2008,142373.9953494331
08/2008,138839.24143875128
09/2008,118016.88560441867
10/2008,96125.56494473624
11/2008,89105.85484403238
12/2008,87864.60426816125
01/2009,89290.08370786517
02/2009,85414.2998418222
03/2009,92826.04706943191
