Date,MSCI World ex USA
08/1998,118659.03842241982
09/1998,109892.22819985263
10/1998,116851.32045288045
11/1998,126323.8746786764
12/1998,130333.7471307977
01/1999,134618.45973818228
02/1999,135590.81342608278
03/1999,144876.54098009862
04/1999,153156.22126306314
05/1999,147380.47131932943
06/1999,155040.12858225056
07/1999,154043.96418734815
08/1999,156249.72728022933
09/1999,156574.35933468974
10/1999,165921.90330251795
11/1999,177778.7485271042
12/1999,195110.76625369806
01/2000,188028.69516028205
02/2000,194891.76525371263
03/2000,206309.97223785357
04/2000,205685.08875888845
05/2000,195998.14976306068
06/2000,199055.92521083515
07/2000,197929.86338014583
08/2000,208102.3958699696
09/2000,200495.3873669761
10/2000,203093.94540108976
11/2000,188917.95274657867
12/2000,182482.57267882567
01/2001,183054.56000844977
02/2001,169377.3768124098
03/2001,165329.8220904758
04/2001,175955.58128542255
05/2001,178109.959321725
06/2001,170846.39869642578
07/2001,162574.04334688655
08/2001,151269.45907992264
09/2001,136404.787561419
10/2001,141121.35649302576
11/2001,149041.68350730234
12/2001,151444.10933249566
01/2002,146670.09991514168
02/2002,147325.47891285032
03/2002,153858.4381434661
04/2002,149887.5937716368
05/2002,145720.63677972168
06/2002,131552.81941748896
07/2002,120800.14341189126
08/2002,119999.3190565309
09/2002,106978.67000557607
10/2002,112552.54320735155
11/2002,116987.10045483423
12/2002,107161.05931800693
01/2003,99942.56836714182
02/2003,98281.39443125679
03/2003,95387.61220425897
04/2003,102325.25665722227
05/2003,102319.75723485067
06/2003,108428.21750724
07/2003,111983.97646474767
08/2003,118981.9968295286
09/2003,114926.3206762449
10/2003,122438.33730687843
11/2003,121330.11541417593
12/2003,124055.48255367909
01/2004,128281.39365858676
02/2004,130872.4859317002
03/2004,133615.04765846368
04/2004,133134.40321790287
05/2004,131004.44179478528
06/2004,134503.87047579238
07/2004,131658.57426850888
08/2004,131420.05561360583
09/2004,132002.7430116917
10/2004,133225.12745882623
11/2004,136121.84296601522
12/2004,138476.98390515154
01/2005,141853.63963764184
02/2005,145682.93068797054
