Date,MSCI Europe
06/1990,66875.36243377339
07/1990,67591.6347384438
08/1990,58208.98708539693
09/1990,51439.342269580884
10/1990,54141.38822190316
11/1990,53602.003426759555
12/1990,53451.246871877294
01/1991,55387.299789437326
02/1991,59231.51620444296
03/1991,60148.14151046674
04/1991,62688.540229800245
05/1991,65402.94486079645
06/1991,62146.65199696361
07/1991,66539.43312540004
08/1991,66262.4383902958
09/1991,66366.33300448059
10/1991,64885.52762876233
11/1991,60990.63693543817
12/1991,63668.19988866337
01/1992,64097.98282893333
02/1992,65768.57251824846
03/1992,65162.33029332427
04/1992,68137.77784439558
05/1992,70640.33285484796
06/1992,67340.07189686131
07/1992,61845.26526639845
08/1992,60089.228159039856
09/1992,60460.60367143444
10/1992,58581.550065621064
11/1992,62388.92605191992
12/1992,63778.89559549736
01/1993,65133.74157914388
02/1993,67520.35010337614
03/1993,71343.29392575586
04/1993,70435.81336003737
05/1993,71369.11819576763
06/1993,72378.8229585747
07/1993,75707.55934628868
08/1993,82980.21565546282
09/1993,79433.5893204196
10/1993,83714.13222506078
11/1993,84106.84797888553
12/1993,90381.36168465104
01/1994,96272.04916057149
02/1994,92505.45535715873
03/1994,88028.86984524073
04/1994,91939.83730525758
05/1994,86139.62645020637
06/1994,83851.14258409844
07/1994,85526.07745713418
08/1994,88340.10118156458
09/1994,83928.01296217272
10/1994,85910.35358738065
11/1994,83848.15113678505
12/1994,86049.38416582727
01/1995,83630.82188141733
02/1995,84589.4931577885
03/1995,85075.42913806671
04/1995,86116.39164426744
05/1995,89237.39402061989
06/1995,89327.0848773625
07/1995,92891.08218758012
08/1995,92003.8699706089
09/1995,95999.1973499528
10/1995,94059.42574361124
11/1995,94932.95147634241
12/1995,99492.47126182588
01/1996,101358.71302174898
02/1996,103798.23732174812
03/1996,104972.38733269116
04/1996,106633.4254713136
05/1996,108760.92453488088
06/1996,109105.74339761668
07/1996,106101.99955782454
08/1996,108260.08095805989
09/1996,111496.07051562169
10/1996,114439.4166919883
11/1996,118695.34392100215
12/1996,123672.48856040399
01/1997,127380.89833442953
02/1997,134687.22157084514
03/1997,140651.02339882293
04/1997,140712.87320944032
05/1997,146272.58454465755
06/1997,155316.34282389822
07/1997,167118.75438326196
08/1997,162064.4311265704
09/1997,173117.74885256423
10/1997,161617.0841953391
11/1997,160723.39824711316
12/1997,171092.28914895593
01/1998,182313.52483768956
02/1998,196134.29666105588
03/1998,210876.65944594887
04/1998,213510.76431165665
05/1998,214517.924368949
06/1998,218443.18665927157
07/1998,223285.7337205117
08/1998,194404.40258309402
09/1998,177924.91096089754
10/1998,185068.22947182995
11/1998,200554.6647025536
12/1998,207988.02342530404
01/1999,213401.6700022833
02/1999,214894.5884723812
03/1999,222821.28663107206
04/1999,232600.34921988423
05/1999,224414.974656307
06/1999,231031.03936090216
07/1999,225196.39610768066
08/1999,230087.54409579263
09/1999,226344.31548910728
10/1999,239432.398893994
11/1999,254559.12621378904
12/1999,282075.07193502854
01/2000,268807.9064112896
02/2000,285067.84480037587
03/2000,296872.4672042245
04/2000,298385.30461533973
05/2000,289010.43095136713
06/2000,287398.51975543634
07/2000,292383.80081749737
08/2000,299876.26850423316
09/2000,290434.59507620416
10/2000,300149.2047833566
11/2000,279655.53329559043
12/2000,278982.40342565795
01/2001,279470.5739516973
02/2001,256176.7126369687
03/2001,248235.05658979458
04/2001,264557.47063365806
05/2001,263411.84553669364
06/2001,253454.12000096447
07/2001,246103.44707398314
08/2001,229148.08288003854
09/2001,206890.26645717552
10/2001,215568.88235613276
11/2001,227850.70507764618
12/2001,235941.04246030812
01/2002,228169.11311923654
02/2002,227761.4693021674
03/2002,238095.37812669858
04/2002,228828.84516469177
05/2002,218917.48376760073
06/2002,198860.88473011472
07/2002,180202.5545519608
08/2002,179253.4290421378
09/2002,155246.33741785656
10/2002,170182.59552830493
11/2002,177406.04557206124
12/2002,161843.18207792295
01/2003,149496.6672694102
02/2003,145073.86059711676
03/2003,141427.2788568659
04/2003,157098.92664427642
05/2003,157510.51874469253
06/2003,164526.42205806353
07/2003,169485.4352651966
08/2003,175218.57759627298
09/2003,167658.85992649067
10/2003,179336.37551890573
11/2003,181170.19220475433
12/2003,186176.47995315952
01/2004,192094.59593105997
02/2004,197179.5621170984
03/2004,194066.50921771844
04/2004,196919.1390166677
05/2004,195999.34323717732
06/2004,199323.6235091645
07/2004,195706.06013424683
08/2004,194659.96755211035
09/2004,197604.5928174005
10/2004,199464.91807793817
11/2004,205111.94074710886
12/2004,208680.96041803824
01/2005,214020.6823653255
02/2005,220963.81264229017
03/2005,220267.85872276084
04/2005,214800.8352025053
05/2005,226506.51072655307
06/2005,234164.9552491616
07/2005,242673.5859933133
08/2005,244171.7395872945
09/2005,253336.2002521074
10/2005,245746.47152015663
11/2005,255283.48244026603
12/2005,263638.12365439266
01/2006,273423.2072739727
02/2006,279250.444483043
03/2006,284609.6797110571
04/2006,288815.53884984995
05/2006,273615.96190842206
